grammar,type,meaning,lesson,link
"~라니까","sentence ending","I already said that it is... (with 이다)","125","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-125-i-said-that/"
"~자니까","sentence ending","I already said let's... (with ~자 suggestion)","125","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-125-i-said-that/"
"~(으)라니까","sentence ending","I already told you to... (with command)","125","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-125-i-said-that/"
"~별 (by category)","suffix","attached to a noun to indicate grouping/classification by that category (by level, by gender)","126","https://www.howtostudykorean.com/lesson-126/"
"~별로 (by/according to)","suffix","adverbial form indicating actions done separately according to a classification","126","https://www.howtostudykorean.com/lesson-126/"
"~씩","particle","each, per, at a time; division into regular quantities or intervals","127","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-127/"
"~아/어 놓다","verb ending","do an action and leave it in that completed/resulting state","128","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-128/"
"~아/어 놔 (spoken)","verb ending","informal spoken abbreviation of ~아/어 놓다","128","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-128/"
"[명사]+나다 (e.g. 생각이 나다)","expression","noun + 나다 construction meaning something arises/comes up (remember, get angry, smell, etc.)","128","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-128/"
"넘다","verb","to cross over, pass, exceed, go over a threshold","129","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-129/"
"~넘게 (over/more than)","adverb","over, more than (used with countable quantities)","129","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-129/"
"주제넘다","adjective","to be presumptuous, to go too far / overstep one's bounds","129","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-129/"
"만 / 억 / 조 / 경","number","large Sino-Korean number units: ten-thousand, hundred-million, trillion, ten-quadrillion","130","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson130/"
"사이시옷 (middle ㅅ)","expression","inserted ㅅ between components of a compound word when the first ends in a vowel","131","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-131/"
"~ㄹ/을수록","connective","the more... the more...; as one thing changes, another changes accordingly","132","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-132/"
"~아/어지다 (become)","verb ending","to become/get into a state (often paired with ~ㄹ/을수록)","132","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-132/"
"~ㄹ/을 리가 없다","expression","there is no way that (something is true); expresses impossibility","133","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-133/"
"그럴 리가 없다","expression","that can't be true (common variant of ~ㄹ/을 리가 없다)","133","https://www.howtostudykorean.com/unit-6/lessons-126-133/lesson-133/"
"콩글리시 (Konglish words)","noun","Korean-English hybrid/borrowed vocabulary (아파트, 셀카봉, etc.)","134","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-134/"
"~성 (-ness)","suffix","forms nouns indicating a quality/characteristic or its degree (중요성, 위험성)","135","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-135/"
"~기에","connective","because of (a circumstance); more formal/written causal form","136","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-136/"
"~길래","connective","colloquial causal form; because of something directly experienced","136","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-136/"
"~아/어야","connective","must / only if (one action must occur for another result to happen)","137","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-137/"
"~았/었어야 하다","expression","should have done something (but didn't); past regret/hindsight","138","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-138/"
"~았/었어야지/죠","sentence ending","colloquial reproachful 'you should have...' directed at the listener","138","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-138/"
"~았/었어도 되다","expression","could have done something (but didn't); counterfactual past permission","139","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-139/"
"안 ~았/었어도 되다","expression","didn't need to do something; would have been okay not to","139","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-139/"
"~(으)로서","particle","as (in the role/status/position of)","140","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-140/"
"~(으)로서의","particle","~(으)로서 + 의; 'as a...' modifying a following noun","140","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-140/"
"~(으)로써","particle","by means of / using (a tool, material or method); stresses the means","141","https://www.howtostudykorean.com/unit-6/lessons-134-141/lesson-141/"
"~ㄴ/는다니 / ~다니 (surprise)","sentence ending","express surprise or displeasure at a statement","142","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-142/"
"~(이)라니","sentence ending","express surprise at a noun","142","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-142/"
"~자니","sentence ending","react with surprise to a suggestion","142","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-142/"
"~(느)냐니","sentence ending","express displeasure/surprise at a question","142","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-142/"
"~(으)라니","sentence ending","react with surprise to a command","142","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-142/"
"~ㄹ/을걸(요) (guess)","sentence ending","state a guess/presumption or gently refute; 'probably'","143","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-143/"
"~았/었을걸(요)","sentence ending","past-tense guess/presumption about something that happened","143","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-143/"
"~지 뭐","sentence ending","resignation; 'I guess I'll just have to...'","144","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-144/"
"~겠지 뭐","sentence ending","future-tense resignation; anticipated acceptance of an outcome","144","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-144/"
"~(이)란","expression","abbreviation of ~(이)라고 하는/한; quotes or introduces a definition","145","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-145/"
"~느라고","connective","because of doing (a purposeful action), with a negative result/inability","146","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-146/"
"~는 바람에","expression","because of (an unexpected/unpreventable event), with a negative result","147","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-147/"
"[옷] 바람으로","expression","while wearing (a garment), implying an improper/underdressed state","147","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-147/"
"바람을 피우다","expression","to have an affair, to cheat on someone","147","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-147/"
"~고는 하다 / ~곤 하다","expression","do something repeatedly but occasionally; (past) used to occasionally","148","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-148/"
"하필","adverb","of all possibilities, the most unfortunate one happens; 'why of all things'","149","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-149/"
"어쩐지","adverb","somehow; no wonder (on discovering an explanation for something puzzling)","150","https://www.howtostudykorean.com/unit-6/lessons-142-150/lesson-150/"
"~거리다 (mimetic verb-maker)","suffix","attaches to mimetic/onomatopoeic words to form verbs meaning repeated action","152","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-152/"
"의태어 (mimetic words)","adverb","mimetic words that function as adverbs describing manner/appearance","152","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-152/"
"~(으)려니까","connective","tried/intended to do something, but/so (intention + reason)","153","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-153/"
"~(으)려다가","connective","was going to do something, but then something else happened","154","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-154/"
"~(으)려는","verb ending","attributive form: a noun that is trying/about to do (from ~(으)려고 하는)","155","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-155/"
"~(으)려던","verb ending","attributive form: a noun whose intended action did not occur/was interrupted","155","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-155/"
"~(으)려는 참","expression","to be about to do (present/future); on the verge of an action","156","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-156/"
"~(으)려던 참","expression","was about to do (past); was on the verge of an action when interrupted","156","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-156/"
"참 (pseudo-noun)","noun","dependent noun meaning 'the moment/point of'; must be modified by a clause","156","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-156/"
"~의 경우","expression","in the case of (noun)","157","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-157/"
"경우 (case)","noun","'case/situation'; modified by nouns, adjectives or verbs to specify a situation","157","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-157/"
"경우가 있다","expression","there are cases where; sometimes it happens that","157","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-157/"
"위주로","expression","focusing primarily/mainly on (a noun)","158","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-158/"
"위주의","expression","primarily-focused (noun-modifying form using 의)","158","https://www.howtostudykorean.com/unit-7/lessons-151-158/lesson-158/"
"~치 않다","verb ending","abbreviated negation of ~하지 않다 when preceding syllable ends in ㄴ/ㄹ/ㅁ/ㅇ","159","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-159/"
"~느냐","verb ending","speculative/indirect-question ending 'whether or not' for verbs","160","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-160/"
"~(으)냐","adjective","speculative/indirect-question ending 'whether or not' for adjectives","160","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-160/"
"~느냐는","verb ending","attributive form making a 'whether...' question modify a following noun","161","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-161/"
"~느냐에 따라서","expression","depending on whether (something happens)","162","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-162/"
"~에 따라(서)","expression","in accordance with / depending on (a noun)","162","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-162/"
"~ㄴ/은/는/을/ㄹ 말이다","expression","stresses or re-checks what was said: 'what I'm saying is...'","163","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-163/"
"~(으)란/(으)라는 말이다","expression","quotes a command: 'I'm telling you to...'","163","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-163/"
"~아/어야 말이지","expression","expresses obligation with frustration that it should be obvious","164","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-164/"
"~(으)니 말이지","expression","emphasizes relief/good fortune by contrast with a hypothetical bad outcome","165","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-165/"
"~기에 말이지","expression","more formal/written variant of ~(으)니 말이지 (lucky thing that...)","165","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-165/"
"하마터면","adverb","nearly, narrowly (just barely avoiding something)","165","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-165/"
"~(이)야말로","particle","emphasizes a noun above all others: 'this is truly the one that...'","166","https://www.howtostudykorean.com/unit-7/lessons-159-166/lesson-166/"
"~ㄹ/을까 말까","expression","hesitating/deliberating over whether to do an action","167","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-167/"
"말다","verb","auxiliary verb 'to stop/refrain/not do', used in many 말다 constructions","167","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-167/"
"~거나 말거나 (indifference)","expression","whether (one does) or not; indifference to the outcome","168","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-168/"
"~ㄹ/을락 말락","expression","on the verge of happening without quite completing; almost-but-not","169","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-169/"
"~고 말았다","expression","ended up doing (despite efforts otherwise); undesirable result","170","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-170/"
"~고 말겠다","expression","will definitely/surely do; expresses determination","170","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-170/"
"~고야 말겠다","expression","will absolutely do no matter what (intensified determination)","170","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-170/"
"~다 싶다","expression","expresses an uncertain feeling/thought/perception that one isn't sure of","171","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-171/"
"~았/었다 싶다","expression","past-tense version: perceived/felt that a past action or state occurred","171","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-171/"
"~겠다 싶다","expression","future/intentional version: perceived that something will happen","171","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-171/"
"~(으)면 싶다","expression","I hope/wish that... (deep, personal desire)","172","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-172/"
"~ㄹ/을까 싶다","expression","I wonder if / I'm thinking maybe (speculation with intention nuance)","173","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-173/"
"~나 싶다","expression","wondering whether one's assumption is true","173","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-173/"
"~ㄴ/은가 싶다","expression","expresses doubt/questioning: 'I wonder if...'","173","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-173/"
"~기는(요)","expression","humbly downplays a compliment: 'Not really...'","174","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-174/"
"~치고","particle","without exception within a group; all members share a trait (used with negatives)","175","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-175/"
"~치고는","particle","for a (noun), surprisingly/unusually... (standout exception)","175","https://www.howtostudykorean.com/unit-7/lessons-167-175/lesson-175/"
"~아/어 봤자 (futility)","expression","even if you do (action), it's pointless/useless","176","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-176/"
"아무리 (no matter how)","adverb","no matter how much; however much (paired with ~아/어 봤자)","176","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-176/"
"소용없다","adjective","to be of no use; to be pointless","176","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-176/"
"~(으)오","sentence ending","archaic/literary formal sentence ending on verbs, adjectives, 이다","177","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-177/"
"~(으)오니","connective","formal/literary reason-or-background connector (~(으)오 + ~(으)니)","177","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-177/"
"~구요","sentence ending","colloquial spoken variant of ~고요; adds info in a friendly tone","178","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-178/"
"~고요","sentence ending","polite ~고 sentence ending implying more info follows","178","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-178/"
"~기 마련이다","expression","to be bound to happen; naturally/inevitably occurs","179","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-179/"
"~ㄴ/은/는/을/ㄹ 듯하다","expression","to seem like; it appears that (inference)","180","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-180/"
"~조차","particle","even (emphasizes severity that even the basic cannot be done)","181","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-181/"
"~답다","suffix","to be like / characteristic of (a noun of identity/role)","182","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-182/"
"~다운","suffix","adjectival form of ~답다 describing a following noun","182","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-182/"
"~답게","suffix","adverbial form of ~답다 modifying a verb/action","182","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-182/"
"~롭다","suffix","to be full of / possessing (attaches to abstract nouns)","183","https://www.howtostudykorean.com/unit-8/lessons-176-183/lesson-183/"
"~(이)나마","particle","at least; accepting an unsatisfactory but available option","184","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-184/"
"~ㄴ/은/는데다가","connective","not only... but also; piling on accumulative information","185","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-185/"
"~고서","connective","after doing (completed action before the next); sequential/causal","186","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-186/"
"~고서야","connective","only after doing (first clause is a prerequisite); literary","187","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-187/"
"~(으)나 (contrast)","connective","even though; but (contrastive; formal/literary)","188","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-188/"
"~(으)나 ~(으)나","connective","whether X or Y, the outcome is the same; irrelevance among options","189","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-189/"
"~(으)나 마나","expression","no point doing it; the result is obvious whether you do it or not","190","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-190/"
"~는 둥 마는 둥","expression","doing something halfheartedly/incompletely","191","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-191/"
"~다는 둥 / ~냐는 둥 / ~라는 둥 / ~자는 둥","expression","quoting statements/questions/commands/suggestions dismissively or with annoyance","191","https://www.howtostudykorean.com/unit-8/lessons-184-191/lesson-191/"
"~ㄴ/는단다","sentence ending","contraction of ~ㄴ/는다고 한다; reported speech in a warm/motherly tone","192","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-192/"
"~단다","sentence ending","contraction of ~다고 한다 (adjectives/past); affectionate reported speech","192","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-192/"
"~(이)란다","sentence ending","contraction of ~(이)라고 한다 (nouns); affectionate reported speech","192","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-192/"
"~(으)렴","sentence ending","gentle/maternal soft command or encouragement","193","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-193/"
"제 + 숫자 + 회","counter","ordinal counter for recurring events (e.g. 제1회 = 1st ___)","194","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-194/"
"제 + 숫자 + 차","counter","ordinal counter for sequential/historical events (e.g. 제2차 세계 대전)","194","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-194/"
"제 + 숫자 + 장","counter","chapter number in legal/formal documents (e.g. 제1장)","194","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-194/"
"제 + 숫자 + 조","counter","article number in legal documents (e.g. 제1조)","194","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-194/"
"제 + 숫자 + 항","counter","clause/paragraph number within an article (e.g. 제1항)","194","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-194/"
"~기 그지없다","expression","to be extremely/excessively (adjective); beyond expression","195","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-195/"
"겸 (noun + 겸 + noun)","noun","combining two things/purposes (e.g. 아침 겸 점심 = brunch)","196","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-196/"
"~ㄹ/을 겸","expression","doing one action while also serving another purpose","196","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-196/"
"겸사겸사","adverb","while at it; accomplishing several things at once","196","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-196/"
"바 (pseudo-noun)","noun","that which (refers to a prior notice; or 'might as well' opportunity)","197","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-197/"
"~ㄴ/은 셈이다","expression","basically; counts as; it's like / can be considered as","198","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-198/"
"~은/는커녕 (also ~기는커녕)","particle","far from; let alone; instead of (contrastive negation)","199","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-199/"
"~을/를 부리다","expression","to display/exhibit (a behavior); to control/handle (a person/animal)","200","https://www.howtostudykorean.com/unit-8/lessons-192-200/lesson-200/"
